time,x,y,z
2.535,0.25,-0.21,-2.49
2.538,0.18,-0.21,-2.41
2.543,0.04,-0.26,-2.32
2.548,-0.14,-0.37,-2.07
2.553,-0.31,-0.56,-1.73
2.558,-0.47,-0.78,-1.27
2.564,-0.62,-0.92,-0.90
2.571,-0.77,-1.11,-0.65
2.577,-0.83,-1.15,-0.30
2.582,-0.88,-1.25,-0.06
2.586,-0.93,-1.29,0.06
2.589,-1.08,-1.34,0.07
2.594,-1.25,-1.41,0.11
2.599,-1.37,-1.41,0.27
2.604,-1.41,-1.45,0.29
2.609,-1.44,-1.38,0.27
2.613,-1.69,-1.53,0.23
2.619,-1.42,-1.57,-0.29
2.624,-1.13,-1.27,-0.15
2.629,-1.20,-1.33,0.06
2.634,-1.07,-1.35,-0.06
2.639,-1.00,-1.26,-0.18
2.644,-0.97,-1.08,-0.31
2.649,-0.90,-0.90,-0.27
2.654,-0.84,-0.74,-0.53
2.659,-0.73,-0.64,-0.64
2.664,-0.65,-0.53,-0.86
2.669,-0.49,-0.44,-1.04
2.674,-0.38,-0.34,-1.24
2.679,-0.30,-0.22,-1.34
2.684,-0.19,-0.04,-1.54
2.689,-0.14,0.04,-1.75
2.694,-0.18,0.16,-2.11
2.699,-0.15,0.26,-2.32
2.704,-0.18,0.30,-2.37
2.709,-0.15,0.35,-2.21
2.714,-0.22,0.28,-2.17
2.724,-0.37,0.26,-2.04
2.729,-0.49,0.16,-1.85
2.729,-0.64,0.05,-1.68
2.734,-0.71,-0.12,-1.53
2.739,-0.81,-0.22,-1.27
2.744,-0.85,-0.29,-0.94
2.749,-0.86,-0.32,-0.77
2.754,-0.89,-0.28,-0.57
2.759,-0.93,-0.37,-0.49
2.764,-1.01,-0.31,-0.53
2.770,-1.04,-0.32,-0.41
2.774,-0.98,-0.23,-0.33
2.779,-0.98,-0.14,-0.33
2.785,-0.99,-0.07,-0.26
2.789,-0.91,0.02,-0.18
2.794,-0.90,0.09,-0.23
2.799,-0.81,0.15,-0.32
2.805,-0.68,0.20,-0.43
2.809,-0.57,0.36,-0.41
2.814,-0.54,0.42,-0.34
2.819,-0.47,0.45,-0.14
